"fromuser","touser","date","postid","threadid"
"keineloe","Sonaeo",1238898169,773,179
"keineloe","SpAiN",1238878310,761,186
"djmatrix","Sonaeo",1238945467,788,187
"Kluless","kamboja",1239006308,816,187
"befire","ntldr",1239368219,931,189
"keineloe","BigBrother",1238949665,800,194
"keineloe","quinola",1238951071,802,195
"keineloe","thom.alb",1238951581,805,196
"djmatrix","keineloe",1239035341,828,200
"keineloe","dendo",1239154966,864,203
"keineloe","AccountHunter",1239141772,858,204
"keineloe","Support",1239141723,857,205
"j0yr1de","shangotekel",1240070727,1138,209
"chuplies","SpAiN",1247745022,3129,209
"R4z0r","SpAiN",1253184474,5477,209
"Benelli","j0yr1de",1239693957,1017,218
"Janine","SpAiN",1239447550,944,227
"befire","katana",1239634717,981,240
"keineloe","AccountHunter",1239635283,982,241
"Stan","IP-Sh0k",1240340125,1179,259
"Pappe","Stan",1261537071,52303,259
"freakm","Stan",1261961654,63691,259
"sliver","Margoz",1261962795,63725,259
"Qoo","iShorty",1261964253,63768,259
"ixxten","Qoo",1261965818,63810,259
"nijidgreat","ntldr",1252779266,5234,264
"nijidgreat","ntldr",1252779879,5235,264
"skazzi","normaliai",1253723494,5966,264
"VirtualRAin","ntldr",1256939033,11505,264
"qbishon","cardfather",1260207570,25088,264
"ketastyle","ntldr",1261708634,56613,264
"BLACKEMPERATOR","ntldr",1269962538,162788,264
"Kaho","keksi",1283875471,350062,264
"fast","ntldr",1288690980,389626,264
"skreamous","ccdotman",1290643115,405416,264
"djalex","fast",1291415479,410660,264
"bla2oo6","thom.alb",1240444854,1205,271
"burg0mi$tr","HolyDarkness",1242269143,1514,281
"payback","skittle ghost",1251806986,4701,282
"IP-Sh0k","thom.alb",1240488542,1210,292
"b1ck","thom.alb",1240489384,1211,292
"J0hn.X3r","nuki",1240493313,1213,292
"kirmi","Assassins",1261752539,57356,296
"K1ng","Fuxxer",1245067892,2227,302
"Gamer#1","troubleinaz",1272529912,213684,303
"vincent","loki420",1240688275,1246,305
"HolyDarkness","Impulse",1240934884,1271,307
"Cardon","Monarchie",1241576542,1409,318
"$triker","TopLad",1242505714,1564,318
"$triker","TopLad",1243332075,1764,318
"J0hn.X3r","Nowo",1241298012,1353,321
"b1ck","Nowo",1241369853,1365,321
"Kluless","ri0t",1241376938,1367,321
"ri0t","Kluless",1241377452,1369,321
"falsch","Nowo",1241554192,1407,321
"Drop","Tower",1263306856,81269,322
"Blubber","meayoz",1263424005,81974,322
"vengad0r","krause515",1263646880,83489,322
"K1ng","d7thsign",1241292290,1344,323
"maamoon","$aymon",1260955599,35643,325
"emmanuel2611","maamoon",1275324572,234856,325
"takedown","ri0t",1241523733,1396,333
"Chunky1337","K1ng",1281828453,330055,335
"spRayaH","Chunky1337",1281828497,330056,335
"SynTes","_wayne",1281860610,330148,335
"Quik_Silver","Ohnmachtsanfall",1281868665,330222,335
"gawno","isell.cc",1243672553,1827,354
"cry$talmoney","ntldr",1245550621,2440,374
"mespeed1","rosudrag2",1242674873,1593,379
"h3ckt0R","one8099",1247895391,3198,402
"falsch","cHaoZz",1243077062,1701,403
"Snazz","tempo",1245721030,2496,404
"keineloe","CyberKiller",1243278878,1753,411
"Sickness","blender",1243416983,1785,420
"Mr_Trash","Sickness",1243422186,1786,420
"K1ng","warning2010",1243608287,1815,422
"HARLAM","Abraxas",1251525197,4432,423
"InterOptic","HARLAM",1251629864,4592,423
"Chronos","Sir_Mortimer",1243667785,1825,428
"SICK","Chronos",1243670978,1826,428
"con1337","burg0mi$tr",1243713785,1832,428
"SICK","opitz",1243773076,1836,428
"SICK","Monarchie",1243929192,1857,428
"Mr_Trash","burg0mi$tr",1243939213,1860,428
"shinkow66","burg0mi$tr",1243942146,1863,428
"Mr_Trash","cr@sh",1246789844,2732,432
"Tscheppi","X0064X",1265366181,96774,432
"foobar","hagebuttentee",1245587921,2451,433
"CHA0S","foobar",1245594590,2458,433
"CHA0S","xWantedx",1246014871,2553,433
"storm","Thanatos",1244027873,1904,436
"chinux","Inf0rmer",1244211332,1973,436
"Mr_Trash","kindofnoob",1244035053,1910,438
"user9332","Impulse",1244044432,1927,438
"chinux","Mr_Trash",1244228351,1992,438
"J0hn.X3r","hesgoodboy",1244044145,1926,441
"EVDaemon","<Furi0n>",1244306896,2007,454
"LiKeMySelf","LiKeMySelf",1244325616,2017,454
"bla2oo6","LiKeMySelf",1244481355,2070,454
"Hamtaro","SpAiN",1244387248,2026,460
"con1337","thegamer",1244452475,2054,463
"chinux","Impulse",1244438003,2049,467
"Back2Streets","0XYGeN",1249671741,3523,467
"Lukestyler","Cloudy",1251060410,3974,467
"Lukestyler","Cloudy",1251060828,3977,467
"Lukestyler","Moq",1251066752,3988,467
"Snack","Lukestyler",1251317322,4260,467
"Cloudy","aliro",1251369949,4306,467
"phia","Mr_Trash",1260707576,29782,467
"MrMafia1","pau",1263135056,79864,467
"thom.alb","thom.alb",1244460910,2056,468
"Impulse","thom.alb",1244467578,2063,468
"Mr_Trash","stay:sic",1244639918,2131,468
"Mr_Trash","Sauberfee",1244582599,2115,474
"Caligula","Mr_Trash",1244623820,2126,474
"Mr_Trash","hesgoodboy",1244648346,2144,479
"PsYcH0","Sir_Mortimer",1244669037,2151,480
"deck","Hearts",1246715869,2698,480
"Caligula","deck",1246716501,2701,480
"Chronos","Caligula",1246734992,2719,480
"assa","Hearts",1247611631,3050,480
"Mr_Trash","Mythoz",1244801493,2175,483
"TheSaint","gawno",1244811425,2182,483
"Mythoz","blender",1244820752,2184,483
"clone","caashot",1261266095,44228,484
"Cloudy","Impulse",1244921143,2197,487
"Mr_Trash","abchorst",1245095577,2236,487
"masterboom","dendo",1258711504,15155,487
"FourOne","WhiteFire",1259249252,16871,487
"SuperWalker","DannyOcean",1259277539,17250,487
"newcardborn","SpAiN",1249206494,3372,498
"Mr_Trash","ArchAngelus",1245266078,2271,499
"Mr_Trash","ArchAngelus",1245272936,2287,499
"Mr_Trash","falsch",1245273548,2289,499
"Mr_Trash","falsch",1245273805,2291,499
"falsch","waltdisney",1245324651,2299,499
"Mr_Trash","sPloiT",1245342673,2339,499
"shadow_of_exitus","petric2009",1245677008,2467,499
"falsch","flautzenharr",1245250371,2259,500
"Mr_Trash","petric2009",1245342117,2336,502
"Mr_Trash","SpAiN",1245272502,2285,503
"Mr_Trash","BigBrother",1245328726,2311,503
"Mr_Trash","BigBrother",1245334290,2314,503
"Mr_Trash","cr@sh",1245336877,2317,506
"Mr_Trash","cr@sh",1245337492,2321,506
"Mr_Trash","cr@sh",1245337812,2323,506
"Mr_Trash","cr@sh",1245338280,2325,506
"PHOB0S","SpAiN",1245345362,2347,506
"PHOB0S","cr@sh",1245361465,2366,506
"Mr_Trash","cr@sh",1245341705,2334,507
"chinux","Mr_Trash",1245342451,2338,507
"Mr_Trash","luigi100",1245344333,2345,507
"assa","0XYGeN",1247936450,3229,507
"Risking","santaly",1250088382,3744,507
"PHOB0S","HolyDarkness",1245570805,2444,508
"HolyDarkness","human",1245570629,2443,509
"SecUpwN","Pl005",1277369154,267751,509
"PHOB0S","test0r",1245361518,2367,510
"PHOB0S","<Furi0n>",1245403275,2383,511
"Mr_Trash","<Furi0n>",1245408935,2387,511
"557139009.in","defqon",1259083880,16186,515
"InterOptic","iShorty",1259662600,21015,515
"Mr_Trash","Burncool",1245450591,2417,516
"PHOB0S","Noluz",1245479719,2421,516
"ixxten","Burncool",1257004013,11664,516
"Mr_Trash","Noluz",1245522744,2432,517
"Mr_Trash","Cloudy",1245550154,2438,517
"PHOB0S","Mr_Trash",1245570598,2442,517
"goldjunge","Abraxas",1245719477,2495,518
"goldjunge","cash in ur w",1245748741,2501,518
"firemoder","Pasion",1261724703,56700,523
".Blume","headseeker",1262615843,74212,523
"III","slash",1263250372,80899,523
"Mr_Trash","pnplike",1245711285,2483,526
"Dccckr.biz","TribbleX",1245927029,2517,532
"MrMafia1","0XYGeN",1245938188,2526,533
"chinux","0XYGeN",1245938767,2527,533
"Mr_Trash","ArchAngelus",1245940552,2529,533
"MrMafia1","Mr_Trash",1246197422,2621,533
"CHA0S","TheSaint",1246284002,2645,538
"PHOB0S","Caligula",1246216205,2629,542
"chinux","BigBrother",1246275098,2640,542
"assa","Rukia",1247955357,3239,542
"Mr_Trash","Burner",1255472071,8400,544
"f4k3","backslash",1255778713,9024,544
"f4k3","BlaXXuN",1255869029,9200,544
"kaiza","f4k3",1255871219,9210,544
"pLaYa_","f4k3",1255874581,9232,544
"kaiza","cr@sh",1255876067,9242,544
"Bernardo","GreenLantern",1259622022,20926,544
"Sh4d0w","MR.RU",1259624522,20956,544
"cr@sh","JamesRick",1259943722,22132,544
"falsch","b4ngb00m",1246254198,2634,553
"falsch","b4ngb00m",1246279833,2642,553
"Caligula","Bl4ckJ4ck",1246295987,2652,553
"Caligula","petric2009",1246628664,2670,558
"Mordon","storm",1255502837,8416,558
"REZULT2010","xorders",1246726775,2710,563
"Morgenrot","Mr_Trash",1246742596,2726,565
"ri0t","Morgenrot",1253966737,6267,565
"H4Gx","Mr_Trash",1254758613,6933,565
"slash","Blackmamba",1261060939,38154,565
"Risking","G-Herm",1261066745,38358,565
"UnReaL792","deltaone-x",1262170416,67693,565
"FLAMEPL2","Misa",1262436195,71167,565
"typekill","Chronos",1246745861,2729,566
"Misa","Parviz",1262300261,69655,568
"st0ic","DeXTorix",1262300487,69657,568
"Misa","harsu",1262360957,70048,568
"typed","IceMan91",1262365278,70116,568
"udam","TribbleX",1246882276,2754,569
"assa","TribbleX",1246882679,2756,569
"falsch","udam",1247584222,3021,569
"payback","dOncRiMe",1258451110,14324,569
"Monarchie","Thanatos",1246883439,2758,570
"udam","Monarchie",1246893209,2767,570
"Thanatos","handplant",1246978009,2787,575
"0XYGeN","handplant",1246978173,2789,575
"handplant","Thanatos",1246978834,2792,575
"assa","0XYGeN",1246978583,2791,577
"Cloudy","xKawsx",1246997167,2812,582
"Cloudy","~~Administrato®~~",1247060840,2827,584
"chinux","TribbleX",1247210688,2910,584
"EREB0S","intermezzo",1255133754,7550,584
"nivea","Thanatos",1253979816,6287,585
"Bosanderos","xWantedx",1247224876,2927,599
"netman420","Symbiose",1247429144,2977,608
"cr@sh","jeanluc",1247657570,3088,608
"assa","Totila",1247415018,2966,609
"assa","Totila",1247422167,2975,609
"storm","pornokatze",1251729029,4662,613
"Mr_Trash","Assistanc3",1247505722,2994,615
"Mr_Trash","player",1247510692,2998,615
"Mr_Trash","hagebuttentee",1247660923,3096,615
"Mr_Trash","Blubber",1247512054,3001,617
"Bernardo","KillerHuso",1259410708,18390,617
"Kaiser911","jackbauer",1260706987,29757,617
"Kaiser911","Kaiser911",1260733847,30661,617
"AirForce","Speedfight2",1261751405,57306,617
"Mr_Trash","B_atc_H",1247583353,3019,621
"Mr_Trash","B_atc_H",1247603720,3031,621
"Kriegsritter","thom.alb",1247589988,3023,622
"CHA0S","Mr_Trash",1247660369,3094,629
"chinux","TribbleX",1247738307,3121,630
"Burncool","Totila",1247765720,3147,634
"cr@sh","Hausmann",1247768957,3148,634
"j0yr1de","CaRdA",1249766015,3582,634
"Mr_Trash","Burncool",1247765271,3144,637
"ixxten","hagebuttentee",1257500800,12675,637
"CHA0S","ixxten",1257503464,12679,637
"Thanatos","kamboja",1249902756,3630,638
"treadahead","ROBOT",1261483990,50106,640
"punani","treadahead",1261511013,51321,640
"Scene","Tikon",1261519154,51659,640
"Suicide","Blackpit",1261531628,52213,640
"cam0ra","Risking",1261568195,52627,640
"ixxten","metalwarlock",1263729666,84033,642
"metalwarlock","ixxten",1263740013,84118,642
"caashot","h3ckt0R",1247850054,3178,643
"pLaYa_","Michilein888",1255791022,9085,647
"sony black","sony black",1248027544,3268,662
"Burncool","ri0t",1248036100,3275,662
"Morgenrot","waltdisney",1248090137,3297,664
"udam","Morgenrot",1248100524,3309,664
"Cloudy","Blackc0d3",1249145020,3354,675
"mr sp0ck","Cloudy",1251296064,4216,675
"XanT","mingebag",1254831398,6985,675
"restor","Vini",1265657356,98887,675
"Sinobis","Sinobis",1265715974,99222,675
"NoLimits","hoppel",1265897606,100989,675
"h3ckt0R","mettwurst",1249038183,3336,679
"supermode","Chronos",1249078189,3341,682
"supermode","PsYcH0",1249090458,3346,682
"PsYcH0","supermode",1249090581,3347,682
"supermode","PsYcH0",1249091157,3348,682
"supermode","vaxx",1254758813,6935,685
"h3ckt0R","ammir",1249180454,3368,687
"chinux","abourjail",1250966687,3880,691
"assa","fooxy",1251405820,4379,691
"Lukestyler","n0b0dy",1249513851,3445,704
"Lukestyler","assa",1249520508,3449,704
"Lukestyler","assa",1249520916,3451,704
"Lukestyler","assa",1249521531,3453,704
"chinux","hutzii",1249573858,3478,706
"Cloudy","hesgoodboy",1249574098,3479,706
"sollymore","dyb",1261869368,60808,706
"Cloudy","Z1G3UN3R",1249584988,3484,707
"crackA2870","Meditondin",1259081114,16175,710
"Meditondin","crackA2870",1259081871,16180,710
"kabounce","Ins4ne",1260691655,29476,710
"Maleficus","justaboi",1260801190,31753,710
"Laryza","Chronos",1250155689,3818,718
"yeswecan","worldww3",1265088627,94551,718
"dyb","Chronos",1249731586,3543,719
"dyb","slijkhuis",1250966995,3881,719
"motogp","K1ng",1262201799,68298,722
"itz me","Master777",1249785498,3596,723
"store","Sir_Mortimer",1249899349,3627,732
"montela","CyberKiller",1251033580,3920,735
"Mr Visa","montela",1261854368,60309,735
"hutzii","hutzii",1250037448,3716,745
"Sdot","d3adline",1250109591,3763,747
"payback","Sdot",1251461329,4398,747
"Risking","RisBo",1250172181,3841,749
"danemone","vinclot",1250175114,3848,749
"escequi","Authentisch",1261153878,40926,749
"Sdot","vinclot",1250120927,3803,755
"Kev","nirshb",1250114235,3782,756
"Kev","miko",1250115306,3789,756
"Kev","mhogo1",1250116473,3792,756
"miko","SpAiN",1250117194,3795,756
"pakipower007","asn",1250111862,3774,758
"InterOptic","kilamacore",1251018691,3894,762
"Timz22","solovn",1268286846,129698,765
"jungleboy66","All-Star",1264011067,86615,766
"Pa!mon","hans-wurst",1267950018,123405,768
"j0yr1de","waltdisney",1254523827,6886,777
"j0yr1de","Sir_Mortimer",1254918567,7119,777
"payback","MajinCloud",1257187732,12139,777
"C3P0","MajinCloud",1257602342,12970,777
"payback","j0yr1de",1257603060,12980,777
"C3P0","mc",1257607810,13006,777
"dynamic1337","cinema",1256312087,10160,785
"cinema","dynamic1337",1256312176,10161,785
"InterOptic","bhekisizwe",1252321041,4978,788
"assa","Cudi",1251035791,3931,791
"megane","fooxy",1251465050,4407,791
"chinux","1337rofl",1251211899,4094,792
"K1ng","Inf0rmer",1251117327,4024,809
"Geld","jackbauer",1261225924,42524,812
"9175","chinux",1264355104,89455,812
"NightAngel","str0ker",1266103295,103351,812
"assa","fooxy",1254317626,6580,814
"pLaYa_","Mr_Trash",1255809237,9137,814
"hutzii","takedown",1251204390,4085,815
"phia","takedown",1260708022,29797,815
"K1ng","Kev",1251488650,4422,820
"Kev","1a2b3c",1251306683,4236,823
"Kev","komalix",1251377214,4307,823
"Sdot","d3adline",1251292055,4206,837
"Cloudy","xWantedx",1251302041,4225,839
"xWantedx","N3t",1251306737,4237,839
"Erfolg","Totila",1253800012,6081,848
"PS-Freak-Ger","DEIM0S",1264021919,86808,848
"Salax","lolmaker911",1279367475,296052,848
"Breity","WarWhole",1255845764,9176,850
"0XYGeN","xeq",1251382112,4320,851
"Kev","xeq",1251382283,4321,851
"xeq","0XYGeN",1251382596,4324,851
"chinux","Kev",1251388291,4339,851
"assa","one",1251388689,4340,851
"Kev","MoneyBoss",1251392762,4347,851
"Kev","MoneyBoss",1251393497,4349,851
"udam","MoneyBoss",1251393937,4351,851
"Kev","MoneyBoss",1251393957,4352,851
"assa","Sutekh",1251538835,4453,867
"SpAiN","MoneyBoss",1251551831,4466,867
"nijidgreat","SpAiN",1251564403,4487,869
"nijidgreat","SpAiN",1251565355,4497,869
"assa","Sdot",1251560010,4475,870
"assa","VENOG",1251560905,4479,870
"assa","AGR0N",1251565020,4494,873
"Anonymus v2","Nubanzi",1251585179,4541,875
"hydr0gen","All-Star",1261130215,40034,876
"Burncool","waltdisney",1251583996,4532,878
"Burncool","waltdisney",1251584770,4538,878
"udam","Morgenrot",1251589769,4554,878
"Morgenrot","madu",1251590116,4556,878
"udam","Morgenrot",1251590349,4557,878
"Burncool","Sutekh",1251590731,4559,878
"Burncool","Sutekh",1251623715,4573,878
"Morgenrot","pornokatze",1251923839,4798,878
"ixxten","Plasmasmog",1251750314,4682,899
"Mr_Trash","Cakal",1251917878,4791,913
"Mr_Trash","Cloudy",1252006249,4831,913
"Mr_Trash","sPloiT",1252017643,4847,913
"storm","Ninjaman",1251976226,4808,916
"Erfolg","storm",1251918676,4793,918
"Dynasty","Sir_Mortimer",1251997635,4815,919
"hashimk111","payback",1252520314,5084,923
"kartoffelbrot","ntldr",1257251816,12239,923
"assa","conax",1252101586,4893,940
"Thanatos","Totila",1252943817,5315,941
"AGR0N","Erfolg",1252111226,4910,943
"AGR0N","Erfolg",1252146633,4916,943
"Erfolg","AGR0N",1252147470,4918,943
"AGR0N","Erfolg",1252149602,4922,943
"Erfolg","rockstar",1252148159,4919,945
"sollymore","VeXx",1261869786,60818,949
"sollymore","VeXx",1261869839,60822,949
"sollymore","enzostrato",1262051169,66377,949
"burg0mi$tr","Coder",1262812808,76697,949
"Mr_Trash","Jodimaster2k",1252318640,4976,950
"payback","conax",1252740604,5198,950
"conax","payback",1252748754,5207,950
"Hakizzle","Loki",1255040345,7373,950
"Risking","Smile",1252402371,5051,953
"VeXx","Sutekh",1252363677,5021,956
"mampf","loyloy",1261084395,39375,961
"Sparkle","Coldfear",1252528981,5101,970
"Mr_Trash","Totila",1252689322,5174,983
"Mr_Trash","Reloader",1252698439,5180,987
"Mr_Trash","Reloader",1252698743,5182,987
"Mr_Trash","Reloader",1252699227,5184,987
"Risking","MoneyBoss",1252743747,5201,987
"Morgenrot","sirac",1252745559,5203,987
"Mr_Trash","Morgenrot",1252762475,5223,987
"Shirkey","Morgenrot",1252773598,5231,987
"Jeremie","Qoo",1253537996,5753,987
"ganja405","MoneyBoss",1270244651,170192,987
"Thanatos","kamboja",1252836418,5249,988
"POSEID0N","freecall",1252862115,5276,996
"Daemonicon","Hearts",1252862545,5278,996
"Sparkle","AR3S",1252884571,5293,1001
"Cakal","OrganizedCrime",1258167782,13904,1001
"Managarm1","infokrieg",1276892278,260329,1028
"conax","sirac",1253294473,5583,1036
"the_aSh","pnplike",1253297273,5590,1036
"chinux","sirac",1253304973,5595,1036
"assa","tato1977",1253280176,5545,1042
"AGR0N","crazymic1501",1253285669,5556,1044
"assa","AGR0N",1253286217,5558,1044
"falsch","Deon",1253402024,5663,1052
"assa","stay:sic",1253630014,5848,1052
"Mr_Trash","Deon",1253632501,5853,1052
"psycho","Sauberfee",1259615464,20847,1055
"nivea","AGR0N",1253684345,5901,1069
"ketamin500","AGR0N",1253685666,5903,1069
"abchorst","Scarface",1253735665,5984,1069
"assa","black.white",1253541613,5761,1071
"assa","89Max",1253545853,5783,1071
"assa","89Max",1253547492,5787,1071
"kingston31","Daemonicon",1253543485,5771,1072
"Daemonicon","kingston31",1253568370,5827,1072
"assa","dmonkey",1253547992,5791,1074
"Morgenrot","89Max",1253549674,5799,1075
"assa","madu",1253552446,5807,1075
"c0nnect","ice69",1261291662,44644,1079
"THANAT0S","stay:sic",1253629989,5847,1080
"InterOptic","buycvv2.com",1253701529,5918,1081
"brainsucker","romance",1261181593,41960,1082
"nivea","cr@sh",1253643287,5865,1084
"KlickKlack","Sutekh",1253643396,5866,1084
"payback","waltdisney",1253693930,5908,1084
"POSEID0N","Hard$tyler",1253831041,6154,1084
"Kugelfisch","megane",1253719039,5958,1086
"assa","Qoo",1253657396,5889,1088
"abchorst","f4k3",1253695194,5911,1089
"Mr_Trash","abchorst",1253710833,5942,1089
"conax","Mr_Trash",1253719937,5961,1089
"Mr_Trash","AGR0N",1253738287,5997,1089
"Deleted","AGR0N",1253740708,6005,1089
"conax","AGR0N",1253741432,6009,1089
"Mr_Trash","conax",1253743799,6012,1089
"assa","e0s",1253704128,5922,1090
"ixxten","89Max",1253708030,5929,1090
"burg0mi$tr","InterOptic",1262813001,76698,1094
"motogp","InterOptic",1262889335,77370,1094
"jack","AGR0N",1255024176,7347,1096
"KlickKlack","Refresh_",1253779711,6040,1107
"SaiD","Sutekh",1253795989,6069,1111
"THANAT0S","Sutekh",1253796467,6070,1111
"SaiD","Sutekh",1254256201,6535,1111
"Erfolg","AGR0N",1253796926,6073,1112
"leks77","f0rest",1253866007,6160,1112
"leks77","f4k3",1253874173,6171,1112
"assa","VeXx",1253804012,6094,1114
"assa","xWantedx",1253808793,6108,1118
"Burncool","waltdisney",1253811173,6118,1118
"assa","crazy star",1253816434,6126,1118
"stay:sic","crazy star",1253818015,6127,1118
"assa","waltdisney",1253819406,6131,1118
"chickeninegg","assa",1253829840,6151,1118
"Erfolg","Thanatos",1254148417,6399,1118
"Hakizzle","sirac",1255367660,8164,1123
"assa","xWantedx",1253892218,6198,1125
"nivea","Refresh_",1254218517,6483,1125
"nivea","89Max",1253987558,6299,1128
"kirmi","Daemonicon",1253964155,6260,1132
"Cloudy","Don92",1255974166,9482,1133
"Darkskim","Hearts",1253974803,6279,1135
"nivea","Darkskim",1253976362,6280,1135
"stay:sic","Darkskim",1253976690,6282,1135
"Deon","Jeremie",1254069763,6345,1144
"Jeremie","madu",1254073413,6350,1144
"assa","Deon",1254073499,6351,1144
"assa","sirac",1254074785,6356,1144
"Mr_Trash","assa",1254075366,6357,1144
"Mr_Trash","RoCkZ",1254087298,6364,1144
"ALCHIMIST","xzibitit",1261130891,40048,1148
"Totila","assa",1254350122,6632,1149
"hurensohn","AxelF",1256845959,11250,1149
"SeargentGunner","Erfolg",1254134386,6377,1152
"CliC","Ic3Drag0n",1254148597,6400,1154
"Ic3Drag0n","CliC",1254149451,6403,1154
"jack","MoneyBoss",1254923203,7143,1161
"Nilarus","chickeninegg",1276880117,260039,1168
"Daemonicon","Refresh_",1254238213,6513,1175
"4chan.org","sumsum",1260826737,32803,1178
"obeneba","nextkit",1262443544,71318,1185
"supermode","Sutekh",1254312832,6570,1191
"normaliai","skazzi",1254320626,6585,1192
"Cloudy","MajinCloud",1254336970,6607,1199
"conax","assa",1254347218,6629,1203
"f4k3","conax",1254383936,6640,1203
"payback","conax",1255518184,8456,1203
"conax","payback",1255540433,8530,1203
"kirmi","razorblade",1254510772,6860,1206
"pLaYa_","razorblade",1254511419,6863,1206
"super-hans","hans-wurst95",1255459793,8358,1206
"Mr_Trash","assa",1254428874,6726,1216
"Mr_Trash","WTP",1254846039,7035,1216
"Mr_Trash","cardik",1255350951,8095,1216
"Mr_Trash","Stunt_Man_Mike",1256036256,9573,1216
"jones","jones",1256149577,9830,1216
"jones","CurRy",1256297420,10106,1216
"payback","Zauberberg",1256302487,10130,1216
"Elite","slingi",1254431639,6736,1219
"Elite","abchorst",1254490713,6795,1219
"Elite","alOne-",1254493154,6800,1219
"Morgenrot","the_aSh",1254431753,6738,1220
"Erfolg","Morgenrot",1254432201,6742,1220
"cocaX","Erfolg",1254432873,6743,1220
"Mr_Trash","waltdisney",1254435105,6755,1220
"Refresh_","f0rest",1254438840,6760,1223
"Milf_Hunter","madu",1254782342,6969,1223
"f4k3","madu",1254807964,6975,1223
"bangyourdad","Prime",1291038731,407894,1228
"Cloudy","razorblade",1254512262,6869,1241
"Back2Streets","Deon",1255861685,9186,1246
"f4k3","AGR0N",1255867384,9196,1246
"star41","Image",1258131290,13854,1246
"Image","star41",1258132212,13860,1246
"Bernardo","htn",1259015888,16048,1246
"star41","SaiD",1259070603,16121,1246
"RedBull","SaiD",1259073467,16142,1246
"SaiD","RedBull",1259123020,16303,1246
"Cakal","htn",1259568393,20199,1246
"whiterussian","KTV",1265053408,94257,1246
